is_canceled,lead_time,arrival_date_month,meal,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,length_stay,number_guest,change_room_type
0,342,July,BB,Direct,Direct,C,C,3,No Deposit,0,Transient,0.0,0,0,0,2.0,0
0,737,July,BB,Direct,Direct,C,C,4,No Deposit,0,Transient,0.0,0,0,0,2.0,0
0,7,July,BB,Direct,Direct,A,C,0,No Deposit,0,Transient,75.0,0,0,1,1.0,1
0,13,July,BB,Corporate,Corporate,A,A,0,No Deposit,0,Transient,75.0,0,0,1,1.0,0
0,14,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,98.0,0,1,2,2.0,0
0,14,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,98.0,0,1,2,2.0,0
0,0,July,BB,Direct,Direct,C,C,0,No Deposit,0,Transient,107.0,0,0,2,2.0,0
0,9,July,FB,Direct,Direct,C,C,0,No Deposit,0,Transient,103.0,0,1,2,2.0,0
1,85,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,82.0,0,1,3,2.0,0
1,75,July,HB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,105.5,0,0,3,2.0,0
1,23,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,4,2.0,0
0,35,July,HB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,145.0,0,0,4,2.0,0
0,68,July,BB,Online TA,TA/TO,D,E,0,No Deposit,0,Transient,97.0,0,3,4,2.0,1
0,18,July,HB,Online TA,TA/TO,G,G,1,No Deposit,0,Transient,154.77,0,1,4,3.0,0
0,37,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,94.71,0,0,4,2.0,0
0,68,July,BB,Online TA,TA/TO,D,E,0,No Deposit,0,Transient,97.0,0,3,4,2.0,1
0,37,July,BB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Contract,97.5,0,0,4,2.0,0
0,12,July,BB,Online TA,TA/TO,A,E,0,No Deposit,0,Transient,88.2,0,0,1,2.0,1
0,0,July,BB,Corporate,Corporate,A,G,0,No Deposit,0,Transient,107.42,0,0,1,2.0,1
0,7,July,BB,Direct,Direct,G,G,0,No Deposit,0,Transient,153.0,0,1,4,2.0,0
0,37,July,BB,Online TA,TA/TO,F,F,0,No Deposit,0,Transient,97.29,0,1,5,1.0,0
0,72,July,BB,Direct,Direct,A,A,1,No Deposit,0,Transient,84.67,0,1,6,2.0,0
0,72,July,BB,Direct,Direct,A,A,1,No Deposit,0,Transient,84.67,0,1,6,2.0,0
0,72,July,BB,Direct,Direct,D,D,1,No Deposit,0,Transient,99.67,0,1,6,2.0,0
0,127,July,HB,Offline TA/TO,TA/TO,D,I,0,No Deposit,0,Contract,94.95,0,1,7,2.0,1
0,78,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,63.6,1,0,7,2.0,0
0,48,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,79.5,0,0,7,2.0,0
1,60,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,107.0,0,2,7,2.0,0
0,77,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,94.0,0,0,7,2.0,0
0,99,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,87.3,1,1,7,2.0,0
0,118,July,BB,Direct,Direct,A,A,2,No Deposit,0,Transient,62.0,0,2,14,1.0,0
0,95,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,63.86,0,0,15,2.0,0
1,96,July,BB,Direct,Direct,E,E,0,No Deposit,0,Transient,108.3,0,2,10,2.0,0
0,69,July,BB,Offline TA/TO,TA/TO,A,C,0,No Deposit,0,Transient,65.5,0,0,6,2.0,1
1,45,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0
1,40,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0
0,15,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,98.0,0,0,4,2.0,1
0,36,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,108.8,0,1,4,3.0,0
1,43,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,108.8,0,0,4,3.0,0
0,70,July,HB,Direct,Direct,E,E,0,No Deposit,0,Transient,137.0,0,1,5,2.0,0
1,45,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,117.81,0,0,5,2.0,0
0,45,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,79.5,0,0,5,2.0,0
0,16,July,BB,Direct,Direct,F,F,0,No Deposit,0,Transient,123.0,0,0,5,2.0,0
0,70,July,HB,Direct,Direct,E,E,0,No Deposit,0,Transient,137.0,0,1,5,2.0,0
0,107,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,110.7,0,2,7,2.0,0
1,47,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,153.0,0,0,7,4.0,0
0,96,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,58.95,0,1,7,2.0,0
0,113,July,BB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Transient-Party,82.88,0,2,7,2.0,0
0,90,July,HB,Offline TA/TO,TA/TO,A,B,1,No Deposit,0,Contract,82.35,0,0,7,2.0,1
0,50,July,HB,Online TA,TA/TO,E,F,1,No Deposit,0,Transient,119.35,0,1,7,2.0,1
0,113,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient-Party,67.58,0,2,7,2.0,0
0,93,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,56.01,0,0,11,2.0,0
0,76,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Contract,110.7,0,0,14,2.0,0
0,3,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,88.2,1,0,1,2.0,1
0,1,July,BB,Online TA,TA/TO,H,H,0,No Deposit,0,Transient,147.0,1,0,1,2.0,0
0,1,July,BB,Direct,Direct,C,C,0,No Deposit,0,Transient,107.0,1,2,1,4.0,0
0,0,July,BB,Direct,Direct,H,H,0,No Deposit,0,Transient,147.0,0,0,1,2.0,0
0,0,July,BB,Online TA,TA/TO,A,D,0,No Deposit,0,Transient,117.9,0,2,1,2.0,1
0,0,July,BB,Direct,Direct,G,G,0,No Deposit,0,Transient,123.0,0,0,1,2.0,0
0,14,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,98.0,0,1,2,2.0,1
0,10,July,BB,Online TA,TA/TO,G,G,0,No Deposit,0,Transient,117.81,0,0,2,2.0,0
0,5,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,135.0,1,2,2,2.0,0
0,17,July,BB,Direct,Direct,F,F,0,No Deposit,0,Transient,133.0,0,1,3,2.0,0
0,93,July,BB,Offline TA/TO,TA/TO,A,C,0,No Deposit,0,Contract,58.95,0,0,3,2.0,1
1,3,July,HB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,136.33,0,2,3,2.0,0
0,10,July,BB,Online TA,TA/TO,G,H,0,No Deposit,0,Transient,153.0,1,0,2,4.0,1
0,3,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,110.5,0,0,2,2.0,1
0,51,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,0,2,2.0,0
1,71,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,110.3,0,2,2,3.0,0
1,63,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,82.0,0,2,2,2.0,0
1,62,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,97.0,0,1,2,2.0,0
1,101,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,1,2,2.0,0
0,2,July,HB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,91.5,0,0,2,2.0,0
0,15,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,114.5,0,0,2,2.0,0
1,51,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,110.3,0,0,2,3.0,0
0,3,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,90.9,1,0,3,2.0,0
1,48,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,3,2.0,0
0,2,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,122.0,0,0,4,1.0,0
0,72,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,110.7,1,0,4,2.0,0
0,81,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,85.86,0,0,8,3.0,0
0,99,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,58.95,0,0,9,2.0,0
1,368,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,55.68,0,0,10,2.0,0
0,364,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Contract,55.68,0,0,10,2.0,0
1,81,July,HB,Direct,Direct,A,A,2,No Deposit,0,Transient,124.0,0,1,10,2.0,0
0,99,July,HB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Contract,111.15,0,0,10,2.0,0
0,324,July,HB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Contract,134.73,0,0,14,2.0,0
0,69,July,BB,Online TA,TA/TO,F,F,1,No Deposit,0,Transient,92.45,0,1,14,2.0,0
1,79,July,BB,Offline TA/TO,TA/TO,A,A,0,No Deposit,0,Transient,108.73,0,2,21,3.0,0
0,12,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,73.8,0,0,1,2.0,1
0,9,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,98.0,1,2,1,2.0,1
0,1,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,131.0,0,1,1,2.0,1
0,21,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,123.0,0,0,1,2.0,0
0,9,July,BB,Online TA,TA/TO,C,C,0,No Deposit,0,Transient,94.71,0,0,1,2.0,0
0,109,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,123.0,0,2,1,2.0,0
1,109,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,123.0,0,1,2,2.0,0
1,72,July,BB,Online TA,TA/TO,A,A,0,No Deposit,0,Transient,73.8,0,1,2,2.0,0
1,63,July,BB,Online TA,TA/TO,F,F,0,No Deposit,0,Transient,117.0,0,1,7,2.0,0
0,63,July,HB,Offline TA/TO,TA/TO,E,E,0,No Deposit,0,Transient,196.54,0,1,7,3.0,0
0,101,July,BB,Online TA,TA/TO,D,D,0,No Deposit,0,Transient,99.3,1,2,7,3.0,0
0,102,July,BB,Direct,Direct,E,E,0,No Deposit,0,Transient,90.95,0,0,7,2.0,0
0,4,July,BB,Direct,Direct,A,C,0,No Deposit,0,Transient,92.67,0,1,3,2.0,1
0,98,July,BB,Offline TA/TO,TA/TO,D,D,0,No Deposit,0,Transient,71.55,1,0,3,2.0,0
0,92,July,BB,Offline TA/TO,TA/TO,F,F,0,No Deposit,0,Transient,96.49,0,2,6,3.0,0
0,95,July,BB,Online TA,TA/TO,A,C,0,No Deposit,0,Transient,85.8,1,2,6,2.0,1
0,102,July,BB,Online TA,TA/TO,E,E,0,No Deposit,0,Transient,96.3,0,1,7,2.0,0
1,26,July,BB,Online TA,TA/TO,H,H,0,No Deposit,0,Transient,163.0,0,0,7,4.0,0
1,73,July,HB,Direct,Direct,D,D,0,No Deposit,0,Transient,172.0,0,1,7,3.0,0
